what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1244459653500
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.import,1244459653515
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1244459666359
started,bundle,org.eclipse.cdt.managedbuilder.core,5.0.2.200902130801,org.eclipse.cdt.managedbuilder.core,1244459682515
started,bundle,org.eclipse.cdt.managedbuilder.gnu.ui,5.0.0.200902130801,org.eclipse.cdt.managedbuilder.gnu.ui,1244459682515
started,bundle,org.eclipse.cdt.managedbuilder.ui,5.0.2.200902130801,org.eclipse.cdt.managedbuilder.ui,1244459682593
started,bundle,org.eclipse.cdt.make.core,5.0.2.200902130801,org.eclipse.cdt.make.core,1244459731265
started,bundle,org.eclipse.core.variables,3.2.100.v20080529-1300,org.eclipse.core.variables,1244459731265
started,bundle,org.eclipse.debug.core,3.4.1.v20090106_r342,org.eclipse.debug.core,1244459731796
started,bundle,org.eclipse.ui.externaltools,3.2.0.v20080514-1542,org.eclipse.ui.externaltools,1244459761171
started,bundle,org.eclipse.debug.ui,3.4.2.v20090110_r342,org.eclipse.debug.ui,1244459761281
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1244459798765
started,bundle,org.eclipse.search,3.4.1.r341_v20080813-0800,org.eclipse.search,1244459807453
started,bundle,org.eclipse.cdt.debug.core,5.0.2.200902130801,org.eclipse.cdt.debug.core,1244459807843
started,bundle,org.eclipse.cdt.debug.ui,5.0.1.200902130801,org.eclipse.cdt.debug.ui,1244459808125
opened,editor,org.eclipse.cdt.ui,5.0.2.200902130801,org.eclipse.cdt.ui.editor.CEditor,1244459809921
activated,editor,org.eclipse.cdt.ui,5.0.2.200902130801,org.eclipse.cdt.ui.editor.CEditor,1244459810187
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1244459815593
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1244459827546
started,bundle,org.eclipse.epp.usagedata.ui,1.0.1.R200809220400,org.eclipse.epp.usagedata.ui,1244459827578
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.import,1244459827703
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1244459828281
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1244459835515
closed,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1244459841078
stopped,bundle,org.eclipse.cdt.debug.mi.ui,5.0.1.200902130801,org.eclipse.cdt.debug.mi.ui,1244459841500
