what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.context.ui,3.0.5.v20090218-1800-e3x,org.eclipse.mylyn.context.ui,1244459888359
started,bundle,org.eclipse.mylyn.monitor.ui,3.0.5.v20090218-1800-e3x,org.eclipse.mylyn.monitor.ui,1244459888359
started,bundle,org.eclipse.mylyn.tasks.ui,3.0.5.v20090218-1800-e3x,org.eclipse.mylyn.tasks.ui,1244459888359
started,bundle,org.eclipse.mylyn.team.ui,3.0.5.v20090218-1800-e3x,org.eclipse.mylyn.team.ui,1244459888359
started,bundle,org.eclipse.team.cvs.core,3.3.101.r34x_20090115,org.eclipse.team.cvs.core,1244459888359
started,bundle,org.eclipse.team.cvs.ui,3.3.100.r34x_20090121,org.eclipse.team.cvs.ui,1244459888359
activated,view,org.eclipse.ui.navigator.resources,3.3.101.M20080910-0800,org.eclipse.ui.navigator.ProjectExplorer,1244459891609
closed,editor,org.eclipse.cdt.ui,5.0.2.200902130801,org.eclipse.cdt.ui.editor.CEditor,1244459891625
started,bundle,org.eclipse.compare,3.4.1.r34x_20090121,org.eclipse.compare,1244459895609
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1244459910437
started,bundle,org.eclipse.help.base,3.3.103.v20090128_34x,org.eclipse.help.base,1244459954265
started,bundle,org.eclipse.help.ui,3.3.102.v20081014_34x,org.eclipse.help.ui,1244459954296
started,bundle,org.eclipse.ui.cheatsheets,3.3.101.v20080702_34x,org.eclipse.ui.cheatsheets,1244459954828
started,bundle,org.eclipse.ui.intro,3.2.201.v20080702_34x,org.eclipse.ui.intro,1244459954937
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1244460037218
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.import,1244460037250
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.import,1244460037250
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1244460051421
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1244460088109
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1244460093781
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1244460116109
activated,view,org.eclipse.ui.views,3.3.1.M20081112-0800,org.eclipse.ui.views.ContentOutline,1244460116171
activated,view,org.eclipse.ui.navigator.resources,3.3.101.M20080910-0800,org.eclipse.ui.navigator.ProjectExplorer,1244460119078
opened,editor,org.eclipse.cdt.ui,5.0.2.200902130801,org.eclipse.cdt.ui.editor.CEditor,1244460124812
activated,editor,org.eclipse.cdt.ui,5.0.2.200902130801,org.eclipse.cdt.ui.editor.CEditor,1244460124937
